sep=,
ARRIVALS,,,,
#sitename,,,,
#onset,,,,
#first motion,,,,
#phase,,,,
#year month day,,,,
#hour minute,,,,
#second,,,,
#uncertainty in seconds,longitude :, 123.8811021,,
#peak amplitude,latitude :, 10.2944536,,
#frequency at P phase,compass :, 162,,
,,,,
TIME SERIES,,,,
LLPS,LLPS,LLPS,#sitename,
EHE _,EHN _,EHZ _,#component,
0,0,0,#authority,
20190313,20190313,20190313,#year month day,
1847,1847,1847,#hour minute,
1,1,1,#second,
860,860,860,#samples per second,
0,0,0,#sync,
,,,#sync source,
count,count,count,#unit,
External,External,External,#data source,
62.5 uV,62.5 uV,62.5 uV,#conversion value,
--------,--------,--------,,
44.0,10.0,50.0,,
-23.0,-23.0,-19.0,,
-35.0,-21.0,-31.0,,
-36.0,-32.0,-50.0,,
-27.0,-47.0,-37.0,,
-27.0,-29.0,-12.0,,
-39.0,-23.0,-21.0,,
-47.0,-45.0,4.0,,
-40.0,-52.0,-9.0,,
-7.0,-40.0,1.0,,
-14.0,-47.0,-19.0,,
-26.0,-36.0,-35.0,,
-30.0,-37.0,-29.0,,
-46.0,-44.0,-18.0,,
       ,       ,       ,,
       ,       ,       ,,
END,END,END,,
